url,handle,discovery_source,inbound_count,pagerank_score,collection_memberships,collection_is_crawled,bucket,collections_count
https://triprindia.com/products/men-multi-pockets-colorblocked-plain-baggy-cargo-grey,men-multi-pockets-colorblocked-plain-baggy-cargo-grey,api_seed,0,0,bottom-wear|cargo-pants-for-men|new-collections|top-sellers,bottom-wear:true|cargo-pants-for-men:true|new-collections:true|top-sellers:true,B_collection_crawled_not_linked,4
https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-grey-os10,men-multi-pockets-designing-printed-baggy-cargo-grey-os10,api_seed,0,0,bottom-wear|cargo-pants-for-men|new-collections|top-sellers,bottom-wear:true|cargo-pants-for-men:true|new-collections:true|top-sellers:true,B_collection_crawled_not_linked,4
https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-maroon,men-multi-pockets-designing-printed-baggy-cargo-maroon,api_seed,0,0,bottom-wear|cargo-pants-for-men|top-sellers,bottom-wear:true|cargo-pants-for-men:true|top-sellers:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-multi-pockets-designing-printed-baggy-cargo-olive-green-os10,men-multi-pockets-designing-printed-baggy-cargo-olive-green-os10,api_seed,0,0,bottom-wear|cargo-pants-for-men|new-collections|top-sellers,bottom-wear:true|cargo-pants-for-men:true|new-collections:true|top-sellers:true,B_collection_crawled_not_linked,4
https://triprindia.com/products/men-olive-green-cotton-joggers,men-olive-green-cotton-joggers,api_seed,0,0,bottom-wear|top-sellers|track-pants-for-men,bottom-wear:true|top-sellers:true|track-pants-for-men:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-over-all-printed-over-size-t-shirt-white-d204,men-over-all-printed-over-size-t-shirt-white-d204,api_seed,0,0,best-seller|oversized-tshirt|printed-tshirt|t-shirt|top-wear-collections,best-seller:true|oversized-tshirt:true|printed-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,5
https://triprindia.com/products/men-over-sized-baggy-t-shirt-black-d239,men-over-sized-baggy-t-shirt-black-d239,api_seed,0,0,all-tshirt|new-collections|oversized-tshirt|printed-tshirt|t-shirt|top-wear-collections,all-tshirt:true|new-collections:true|oversized-tshirt:true|printed-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,6
https://triprindia.com/products/men-plain-cargo-jogger-beige,men-plain-cargo-jogger-beige,api_seed,0,0,best-seller|bottom-wear|cargo-pants-for-men,best-seller:true|bottom-wear:true|cargo-pants-for-men:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-plain-textured-pattern-short-beige,men-plain-textured-pattern-short-beige,api_seed,0,0,bottom-wear|shorts,bottom-wear:true|shorts:true,B_collection_crawled_not_linked,2
https://triprindia.com/products/men-plain-textured-pattern-short-black,men-plain-textured-pattern-short-black,api_seed,0,0,best-seller|bottom-wear|shorts,best-seller:true|bottom-wear:true|shorts:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-plain-textured-pattern-short-olive-green,men-plain-textured-pattern-short-olive-green,api_seed,0,0,best-seller|shorts,best-seller:true|shorts:true,B_collection_crawled_not_linked,2
https://triprindia.com/products/men-plain-waffle-short-navy-blue-s32,men-plain-waffle-short-navy-blue-s32,api_seed,0,0,bottom-wear|shorts,bottom-wear:true|shorts:true,B_collection_crawled_not_linked,2
https://triprindia.com/products/men-plain-waffle-short-s32-white,men-plain-waffle-short-s32-white,api_seed,0,0,best-seller|bottom-wear|shorts,best-seller:true|bottom-wear:true|shorts:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-charcoal-grey-j62,men-printed-ankle-fit-cuffed-jogger-charcoal-grey-j62,api_seed,0,0,bottom-wear|track-pants-for-men,bottom-wear:true|track-pants-for-men:true,B_collection_crawled_not_linked,2
https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-j62-beige-black,men-printed-ankle-fit-cuffed-jogger-j62-beige-black,api_seed,0,0,bottom-wear|track-pants-for-men,bottom-wear:true|track-pants-for-men:true,B_collection_crawled_not_linked,2
https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-j62-darkgrey-grey,men-printed-ankle-fit-cuffed-jogger-j62-darkgrey-grey,api_seed,0,0,best-seller|bottom-wear|track-pants-for-men,best-seller:true|bottom-wear:true|track-pants-for-men:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-j62-grey-black,men-printed-ankle-fit-cuffed-jogger-j62-grey-black,api_seed,0,0,best-seller|bottom-wear|track-pants-for-men,best-seller:true|bottom-wear:true|track-pants-for-men:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-j62-navy-grey,men-printed-ankle-fit-cuffed-jogger-j62-navy-grey,api_seed,0,0,best-seller|bottom-wear|track-pants-for-men,best-seller:true|bottom-wear:true|track-pants-for-men:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-printed-ankle-fit-cuffed-jogger-j62-olivegreen-grey,men-printed-ankle-fit-cuffed-jogger-j62-olivegreen-grey,api_seed,0,0,best-seller|bottom-wear|track-pants-for-men,best-seller:true|bottom-wear:true|track-pants-for-men:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-printed-cuffed-jogger-beige,men-printed-cuffed-jogger-beige,api_seed,0,0,best-seller|bottom-wear|track-pants-for-men,best-seller:true|bottom-wear:true|track-pants-for-men:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-printed-cuffed-jogger-maroon,men-printed-cuffed-jogger-maroon,api_seed,0,0,best-seller|bottom-wear|track-pants-for-men,best-seller:true|bottom-wear:true|track-pants-for-men:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-printed-cuffed-jogger-navy-blue,men-printed-cuffed-jogger-navy-blue,api_seed,0,0,best-seller|bottom-wear|track-pants-for-men,best-seller:true|bottom-wear:true|track-pants-for-men:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-printed-half-sleeve-round-neck-cotton-blend-black-t-shirt,men-printed-half-sleeve-round-neck-cotton-blend-black-t-shirt,api_seed,0,0,best-seller|half-sleeve-t-shirt|printed-tshirt|t-shirt|top-wear-collections,best-seller:true|half-sleeve-t-shirt:true|printed-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,5
https://triprindia.com/products/men-printed-half-sleeve-round-neck-cotton-blend-black-t-shirt-1,men-printed-half-sleeve-round-neck-cotton-blend-black-t-shirt-1,api_seed,0,0,best-seller|half-sleeve-t-shirt|printed-tshirt|t-shirt|top-wear-collections,best-seller:true|half-sleeve-t-shirt:true|printed-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,5
https://triprindia.com/products/men-printed-half-sleeve-round-neck-cotton-blend-grey-t-shirt,men-printed-half-sleeve-round-neck-cotton-blend-grey-t-shirt,api_seed,0,0,best-seller|half-sleeve-t-shirt|printed-tshirt|t-shirt|top-sellers|top-wear-collections,best-seller:true|half-sleeve-t-shirt:true|printed-tshirt:true|t-shirt:true|top-sellers:true|top-wear-collections:true,B_collection_crawled_not_linked,6
https://triprindia.com/products/men-printed-half-sleeve-round-neck-cotton-blend-t-shirt-d185-grey,men-printed-half-sleeve-round-neck-cotton-blend-t-shirt-d185-grey,api_seed,0,0,all-tshirt|best-seller|half-sleeve-t-shirt|printed-tshirt|t-shirt|top-wear-collections,all-tshirt:true|best-seller:true|half-sleeve-t-shirt:true|printed-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,6
https://triprindia.com/products/men-printed-half-sleeve-round-neck-cotton-blend-t-shirt-d185-maroon,men-printed-half-sleeve-round-neck-cotton-blend-t-shirt-d185-maroon,api_seed,0,0,all-tshirt|half-sleeve-t-shirt|printed-tshirt|t-shirt|top-wear-collections,all-tshirt:true|half-sleeve-t-shirt:true|printed-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,5
https://triprindia.com/products/men-printed-half-sleeve-round-neck-cotton-blend-t-shirt-d185-navyblue,men-printed-half-sleeve-round-neck-cotton-blend-t-shirt-d185-navyblue,api_seed,0,0,all-tshirt|best-seller|half-sleeve-t-shirt|printed-tshirt|t-shirt|top-wear-collections,all-tshirt:true|best-seller:true|half-sleeve-t-shirt:true|printed-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,6
https://triprindia.com/products/men-printed-half-sleeve-round-neck-cotton-blend-t-shirt-d185-olivegreen,men-printed-half-sleeve-round-neck-cotton-blend-t-shirt-d185-olivegreen,api_seed,0,0,best-seller|half-sleeve-t-shirt|printed-tshirt|t-shirt|top-wear-collections,best-seller:true|half-sleeve-t-shirt:true|printed-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,5
https://triprindia.com/products/men-printed-half-sleeve-round-neck-d185-cotton-blend-t-shirt-charcoal-black,men-printed-half-sleeve-round-neck-d185-cotton-blend-t-shirt-charcoal-black,api_seed,0,0,best-seller|printed-tshirt|t-shirt|top-wear-collections,best-seller:true|printed-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,4
https://triprindia.com/products/men-printed-half-sleeve-round-neck-d186-cotton-blend-grey-t-shirt,men-printed-half-sleeve-round-neck-d186-cotton-blend-grey-t-shirt,api_seed,0,0,all-tshirt|half-sleeve-t-shirt|printed-tshirt|t-shirt|top-wear-collections,all-tshirt:true|half-sleeve-t-shirt:true|printed-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,5
https://triprindia.com/products/men-printed-half-sleeve-round-neck-d186-cotton-blend-navyblue-t-shirt,men-printed-half-sleeve-round-neck-d186-cotton-blend-navyblue-t-shirt,api_seed,0,0,no_collection,,A_no_collection,0
https://triprindia.com/products/men-printed-half-sleeve-round-neck-d186-cotton-blend-olivegreen-t-shirt-1,men-printed-half-sleeve-round-neck-d186-cotton-blend-olivegreen-t-shirt-1,api_seed,0,0,best-seller|half-sleeve-t-shirt|printed-tshirt|top-wear-collections,best-seller:true|half-sleeve-t-shirt:true|printed-tshirt:true|top-wear-collections:true,B_collection_crawled_not_linked,4
https://triprindia.com/products/men-printed-half-sleeve-t-shirt-beige,men-printed-half-sleeve-t-shirt-beige,api_seed,0,0,best-seller|half-sleeve-t-shirt|printed-tshirt|t-shirt|top-wear-collections,best-seller:true|half-sleeve-t-shirt:true|printed-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,5
https://triprindia.com/products/men-printed-hooded-neck-full-sleeve-t-shirt-maroon,men-printed-hooded-neck-full-sleeve-t-shirt-maroon,api_seed,0,0,best-seller|hooded-t-shirt|t-shirt|top-wear-collections,best-seller:true|hooded-t-shirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,4
https://triprindia.com/products/men-printed-multicolor-trunk,men-printed-multicolor-trunk,api_seed,0,0,men-innerwear-trunks,men-innerwear-trunks:true,B_collection_crawled_not_linked,1
https://triprindia.com/products/men-printed-over-size-t-shirt-d201-black,men-printed-over-size-t-shirt-d201-black,api_seed,0,0,oversized-tshirt|t-shirt|top-wear-collections,oversized-tshirt:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-printed-regular-fit-shorts-maroon-s44,men-printed-regular-fit-shorts-maroon-s44,api_seed,0,0,best-seller|bottom-wear|shorts,best-seller:true|bottom-wear:true|shorts:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-printed-regular-fit-shorts-navyblue-s44,men-printed-regular-fit-shorts-navyblue-s44,api_seed,0,0,best-seller|bottom-wear|shorts,best-seller:true|bottom-wear:true|shorts:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-printed-trunk-black,men-printed-trunk-black,api_seed,0,0,men-innerwear-trunks,men-innerwear-trunks:true,B_collection_crawled_not_linked,1
https://triprindia.com/products/men-quarter-zip-polo-neck-ful-sleeve-printed-t-shirt-black-white-p60,men-quarter-zip-polo-neck-ful-sleeve-printed-t-shirt-black-white-p60,api_seed,0,0,all-tshirt|polos|t-shirt|top-wear-collections,all-tshirt:true|polos:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,4
https://triprindia.com/products/men-quarter-zip-polo-neck-full-sleeve-printed-t-shirt-white-black-p68,men-quarter-zip-polo-neck-full-sleeve-printed-t-shirt-white-black-p68,api_seed,0,0,all-tshirt|best-seller|polos|t-shirt|top-wear-collections,all-tshirt:true|best-seller:true|polos:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,5
https://triprindia.com/products/men-quarter-zip-polo-neck-half-sleeve-t-shirt-black-white-p68,men-quarter-zip-polo-neck-half-sleeve-t-shirt-black-white-p68,api_seed,0,0,all-tshirt|half-sleeve-t-shirt|polos|t-shirt|top-wear-collections,all-tshirt:true|half-sleeve-t-shirt:true|polos:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,5
https://triprindia.com/products/men-quarter-zip-polo-neck-half-sleeve-t-shirt-white-black,men-quarter-zip-polo-neck-half-sleeve-t-shirt-white-black,api_seed,0,0,all-tshirt|polos|t-shirt|top-wear-collections,all-tshirt:true|polos:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,4
https://triprindia.com/products/men-quarter-zip-polo-neck-printed-t-shirts,men-quarter-zip-polo-neck-printed-t-shirts,api_seed,0,0,all-tshirt|best-seller|full-sleeve-t-shirt-for-men|half-sleeve-t-shirt|new-collections|polos|printed-tshirt|t-shirt|top-sellers|top-wear-collections,all-tshirt:true|best-seller:true|full-sleeve-t-shirt-for-men:true|half-sleeve-t-shirt:true|new-collections:true|polos:true|printed-tshirt:true|t-shirt:true|top-sellers:true|top-wear-collections:true,B_collection_crawled_not_linked,10
https://triprindia.com/products/men-quarter-zip-polo-neck-vertical-striped-full-sleeve-t-shirt-white-p58,men-quarter-zip-polo-neck-vertical-striped-full-sleeve-t-shirt-white-p58,api_seed,0,0,best-seller|full-sleeve-t-shirt-for-men|polos|t-shirt|top-wear-collections,best-seller:true|full-sleeve-t-shirt-for-men:true|polos:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,5
https://triprindia.com/products/men-red-printed-shorts,men-red-printed-shorts,api_seed,0,0,best-seller|bottom-wear|shorts,best-seller:true|bottom-wear:true|shorts:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-round-neck-itachi-back-printed-vest-black-vs1,men-round-neck-itachi-back-printed-vest-black-vs1,api_seed,0,0,printed-vest,printed-vest:true,B_collection_crawled_not_linked,1
https://triprindia.com/products/men-scoop-neck-graphic-design-printed-vest-white-vs6,men-scoop-neck-graphic-design-printed-vest-white-vs6,api_seed,0,0,new-collections|printed-vest|top-sellers,new-collections:true|printed-vest:true|top-sellers:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-scoop-neck-itachi-printed-vest-black-vs4,men-scoop-neck-itachi-printed-vest-black-vs4,api_seed,0,0,new-collections|printed-vest,new-collections:true|printed-vest:true,B_collection_crawled_not_linked,2
https://triprindia.com/products/men-short-1,men-short-1,api_seed,0,0,best-seller|bottom-wear|shorts,best-seller:true|bottom-wear:true|shorts:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-short-2,men-short-2,api_seed,0,0,best-seller|bottom-wear|shorts,best-seller:true|bottom-wear:true|shorts:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-short-3,men-short-3,api_seed,0,0,best-seller|bottom-wear|shorts,best-seller:true|bottom-wear:true|shorts:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-sleeveless-men-printed-vest-white,men-sleeveless-men-printed-vest-white,api_seed,0,0,baniyan-for-men|best-seller|printed-vest,baniyan-for-men:true|best-seller:true|printed-vest:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-solid-henley-neck-cotton-blend-white-t-shirt,men-solid-henley-neck-cotton-blend-white-t-shirt,api_seed,0,0,best-seller|full-sleeve-t-shirt-for-men|high-neck-t-shirts,best-seller:true|full-sleeve-t-shirt-for-men:true|high-neck-t-shirts:true,B_collection_crawled_not_linked,3
https://triprindia.com/products/men-solid-mandarin-collar-cotton-blend-full-seelve-t-shirt,men-solid-mandarin-collar-cotton-blend-full-seelve-t-shirt,api_seed,0,0,best-seller|full-sleeve-t-shirt-for-men|mandarin-collar-t-shirts|t-shirt|top-sellers|top-wear-collections,best-seller:true|full-sleeve-t-shirt-for-men:true|mandarin-collar-t-shirts:true|t-shirt:true|top-sellers:true|top-wear-collections:true,B_collection_crawled_not_linked,6
https://triprindia.com/products/men-solid-mandarin-collar-cotton-blend-full-seelve-t-shirt-copy,men-solid-mandarin-collar-cotton-blend-full-seelve-t-shirt-copy,api_seed,0,0,best-seller|full-sleeve-t-shirt-for-men|t-shirt|top-wear-collections,best-seller:true|full-sleeve-t-shirt-for-men:true|t-shirt:true|top-wear-collections:true,B_collection_crawled_not_linked,4
