url,status,pageType,indexable,indexabilityStatus,inSitemap,canonical,canonicalTarget,canonicalSelfReferencing,robots,issueCodes
https://triprindia.com/products/tripr-men-vest-green,200,product,true,indexable,true,https://triprindia.com/products/tripr-men-vest-green,https://triprindia.com/products/tripr-men-vest-green,true,,title_length|meta_description_length|missing_image_alt|serp_product_description_missing_detail|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/tripr-men-vest-navy-blue,200,product,true,indexable,true,https://triprindia.com/products/tripr-men-vest-navy-blue,https://triprindia.com/products/tripr-men-vest-navy-blue,true,,title_length|meta_description_length|missing_image_alt|serp_product_description_missing_detail|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/tripr-men-vest-grey-1,200,product,true,indexable,true,https://triprindia.com/products/tripr-men-vest-grey-1,https://triprindia.com/products/tripr-men-vest-grey-1,true,,meta_description_length|missing_image_alt|serp_product_description_missing_detail|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/tripr-solid-with-bottom-cuffed-men-maroon-track-pant,200,product,true,indexable,true,https://triprindia.com/products/tripr-solid-with-bottom-cuffed-men-maroon-track-pant,https://triprindia.com/products/tripr-solid-with-bottom-cuffed-men-maroon-track-pant,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/mens-beach-shorts-printed-black,200,product,true,indexable,true,https://triprindia.com/products/mens-beach-shorts-printed-black,https://triprindia.com/products/mens-beach-shorts-printed-black,true,,title_length|meta_description_length|missing_image_alt|serp_boilerplate_meta_description|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/mens-beach-shorts-printed-grey,200,product,true,indexable,true,https://triprindia.com/products/mens-beach-shorts-printed-grey,https://triprindia.com/products/mens-beach-shorts-printed-grey,true,,title_length|meta_description_length|missing_image_alt|serp_boilerplate_meta_description|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/olive-green-mens-shorts-printed,200,product,true,indexable,true,https://triprindia.com/products/olive-green-mens-shorts-printed,https://triprindia.com/products/olive-green-mens-shorts-printed,true,,title_length|meta_description_length|missing_image_alt|serp_boilerplate_meta_description|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/mens-outdoor-shorts-red-printed,200,product,true,indexable,true,https://triprindia.com/products/mens-outdoor-shorts-red-printed,https://triprindia.com/products/mens-outdoor-shorts-red-printed,true,,meta_description_length|missing_image_alt|serp_title_h1_mismatch|serp_boilerplate_meta_description|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/tripr-men-vest-combo-of-black-white-olive-green,200,product,true,indexable,true,https://triprindia.com/products/tripr-men-vest-combo-of-black-white-olive-green,https://triprindia.com/products/tripr-men-vest-combo-of-black-white-olive-green,true,,title_length|meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/tripr-men-vest-combo-of-black-navyblue-olive-green,200,product,true,indexable,true,https://triprindia.com/products/tripr-men-vest-combo-of-black-navyblue-olive-green,https://triprindia.com/products/tripr-men-vest-combo-of-black-navyblue-olive-green,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/tripr-men-vest-combo-of-black-red-navyblue,200,product,true,indexable,true,https://triprindia.com/products/tripr-men-vest-combo-of-black-red-navyblue,https://triprindia.com/products/tripr-men-vest-combo-of-black-red-navyblue,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/printed-vest-combo-pack-of-3-for-men,200,product,true,indexable,true,https://triprindia.com/products/printed-vest-combo-pack-of-3-for-men,https://triprindia.com/products/printed-vest-combo-pack-of-3-for-men,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/tripr-solid-men-black-grey-track-pants-3,200,product,true,indexable,true,https://triprindia.com/products/tripr-solid-men-black-grey-track-pants-3,https://triprindia.com/products/tripr-solid-men-black-grey-track-pants-3,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/full-sleeve-black-travel-jacket,200,product,true,indexable,true,https://triprindia.com/products/full-sleeve-black-travel-jacket,https://triprindia.com/products/full-sleeve-black-travel-jacket,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/full-sleeve-maroon-unisex-travel-jacket,200,product,true,indexable,true,https://triprindia.com/products/full-sleeve-maroon-unisex-travel-jacket,https://triprindia.com/products/full-sleeve-maroon-unisex-travel-jacket,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/full-sleeve-olive-unisex-travel-jacket,200,product,true,indexable,true,https://triprindia.com/products/full-sleeve-olive-unisex-travel-jacket,https://triprindia.com/products/full-sleeve-olive-unisex-travel-jacket,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/full-sleeve-navy-blue-unisex-travel-jacket,200,product,true,indexable,true,https://triprindia.com/products/full-sleeve-navy-blue-unisex-travel-jacket,https://triprindia.com/products/full-sleeve-navy-blue-unisex-travel-jacket,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/full-sleeve-grey-unisex-travel-jacket,200,product,true,indexable,true,https://triprindia.com/products/full-sleeve-grey-unisex-travel-jacket,https://triprindia.com/products/full-sleeve-grey-unisex-travel-jacket,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/star-printed-black-jacket-1,200,product,true,indexable,true,https://triprindia.com/products/star-printed-black-jacket-1,https://triprindia.com/products/star-printed-black-jacket-1,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/words-printed-cargo-pant-for-men,200,product,true,indexable,true,https://triprindia.com/products/words-printed-cargo-pant-for-men,https://triprindia.com/products/words-printed-cargo-pant-for-men,true,,title_length|meta_description_length|missing_image_alt|serp_boilerplate_meta_description|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/sports-oversized-mens-tshirt,200,product,true,indexable,true,https://triprindia.com/products/sports-oversized-mens-tshirt,https://triprindia.com/products/sports-oversized-mens-tshirt,true,,meta_description_length|missing_image_alt|serp_title_h1_mismatch|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/high-neck-black-half-sleeve-zip-tshirt-for-men,200,product,true,indexable,true,https://triprindia.com/products/high-neck-black-half-sleeve-zip-tshirt-for-men,https://triprindia.com/products/high-neck-black-half-sleeve-zip-tshirt-for-men,true,,title_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/white-short-sleeve-half-zip-high-neck-tshirts-for-men,200,product,true,indexable,true,https://triprindia.com/products/white-short-sleeve-half-zip-high-neck-tshirts-for-men,https://triprindia.com/products/white-short-sleeve-half-zip-high-neck-tshirts-for-men,true,,missing_image_alt|serp_title_h1_mismatch|serp_product_description_missing_detail|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/men-t-shirts-under-200-150-300,200,product,true,indexable,true,https://triprindia.com/products/men-t-shirts-under-200-150-300,https://triprindia.com/products/men-t-shirts-under-200-150-300,true,,missing_image_alt|serp_boilerplate_meta_description|image_alt_too_short|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/oversized-tshirt-men-under-300-printed-red,200,product,true,indexable,true,https://triprindia.com/products/oversized-tshirt-men-under-300-printed-red,https://triprindia.com/products/oversized-tshirt-men-under-300-printed-red,true,,title_length|meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/striped-vest-navy-maroon-sleeveless,200,product,true,indexable,true,https://triprindia.com/products/striped-vest-navy-maroon-sleeveless,https://triprindia.com/products/striped-vest-navy-maroon-sleeveless,true,,missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/mens-navy-red-striped-sleeveless-vest,200,product,true,indexable,true,https://triprindia.com/products/mens-navy-red-striped-sleeveless-vest,https://triprindia.com/products/mens-navy-red-striped-sleeveless-vest,true,,missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/mens-white-navy-striped-vest,200,product,true,indexable,true,https://triprindia.com/products/mens-white-navy-striped-vest,https://triprindia.com/products/mens-white-navy-striped-vest,true,,missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/mens-navy-yellow-striped-vest,200,product,true,indexable,true,https://triprindia.com/products/mens-navy-yellow-striped-vest,https://triprindia.com/products/mens-navy-yellow-striped-vest,true,,missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/mens-sleeveless-grey-printed-vest,200,product,true,indexable,true,https://triprindia.com/products/mens-sleeveless-grey-printed-vest,https://triprindia.com/products/mens-sleeveless-grey-printed-vest,true,,meta_description_length|missing_image_alt|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
https://triprindia.com/products/mens-solid-full-sleeve-maroon-tshirt,200,product,true,indexable,true,https://triprindia.com/products/mens-solid-full-sleeve-maroon-tshirt,https://triprindia.com/products/mens-solid-full-sleeve-maroon-tshirt,true,,missing_image_alt|serp_boilerplate_meta_description|image_alt_duplicate_on_page|image_missing_dimensions|lazy_loading_missing
